split,score_method,threshold,coverage,risk,accepted_known_rows,total_known_rows
known_test,confidence,0.7909233421087265,0.9299474605954466,0.04802259887005644,3186,3426
known_test,confidence,0.8189602494239807,0.9200233508464681,0.04505076142131981,3152,3426
known_test,confidence,0.8533383309841156,0.9098073555166375,0.04170676932948347,3117,3426
known_test,confidence,0.8809959292411804,0.8998832457676591,0.03859876743431723,3083,3426
known_test,confidence,0.9054601341485977,0.8899591360186807,0.03574942604132503,3049,3426
known_test,confidence,0.9211981296539307,0.8800350262697023,0.032172470978441114,3015,3426
known_test,confidence,0.9382539689540863,0.8698190309398716,0.029530201342281903,2980,3426
known_test,confidence,0.9487107396125793,0.8598949211908932,0.028173794976238953,2946,3426
known_test,confidence,0.9597944766283035,0.8499708114419148,0.027129120879120894,2912,3426
known_test,confidence,0.9660515189170837,0.8400467016929364,0.025364836692147286,2878,3426
known_test,confidence,0.9726203978061676,0.8298307063631056,0.023214913823425998,2843,3426
known_test,confidence,0.9775693118572235,0.8199065966141272,0.020647917408330385,2809,3426
known_test,confidence,0.982035905122757,0.8099824868651488,0.019099099099099126,2775,3426
known_test,confidence,0.9852408766746521,0.8000583771161704,0.01824151769427218,2741,3426
known_test,confidence,0.988549068570137,0.7898423817863398,0.016260162601625994,2706,3426
known_test,confidence,0.99051833152771,0.7799182720373613,0.01571856287425155,2672,3426
known_test,confidence,0.9922621250152588,0.7699941622883829,0.015542077331311632,2638,3426
known_test,confidence,0.993164598941803,0.7600700525394045,0.014592933947772613,2604,3426
known_test,confidence,0.9945370554924011,0.7498540572095739,0.014013234721681589,2569,3426
known_test,confidence,0.9954807758331299,0.7399299474605955,0.013806706114398382,2535,3426
known_test,confidence,0.9963594526052475,0.7300058377116171,0.012395041983206734,2501,3426
known_test,confidence,0.99688321352005,0.7200817279626387,0.010539116335630316,2467,3426
known_test,confidence,0.9974502176046371,0.7098657326328079,0.010279605263157854,2432,3426
known_test,confidence,0.9977622032165527,0.6999416228838296,0.010008340283569672,2398,3426
known_test,confidence,0.9981706887483597,0.6900175131348512,0.010152284263959421,2364,3426
